Event,Latitude (Decimal deg),Longitude (Decimal deg),Station,Depth (m),Label,Source,YOUR DATA mean (units),YOUR DATA sd (units),Comments,,
1036,48.575,234.500,P1,70,169,GoFlo,,,,,
1036,48.575,234.500,P1,70,170,GoFlo,,,,,
1036,48.575,234.500,P1,70,171,GoFlo,,,,,
NA,48.817,231.334,P8,5,201,McL,,,,,
1007,48.817,231.334,P8,33,202,McL,,,,,
1007,48.817,231.334,P8,70,203,McL,,,,,
1007,48.817,231.334,P8,300,204,McL,,,,,
1012,48.743,232.333,P6,5,205,McL,,,,,
1015,48.743,232.333,P6,300,208,McL,,,,,
1015,48.743,232.333,P6,15,206,McL,,,,,
1015,48.743,232.333,P6,45,207,McL,,,,,
1020,48.651,233,P4,5,209,McL,,,,,
1025,48.651,233,P4,45,2010,McL,,,,,
1025,48.651,233,P4,65,2011,McL,,,,,
1025,48.651,233,P4,300,212,McL,,,,,
1035,48.575,234.500,P1,15,213,McL,,,,,
1035,48.575,234.500,P1,40,214,McL,,,,,
1035,48.575,234.500,P1,70,215,McL,,,,,
1039,48.575,234.500,P1,10,216,McL,,,,,
1002,48.817,231.334,P8,105,301,Niskin,,,,,
1002,48.817,231.334,P8,85,302,Niskin,,,,,
1002,48.817,231.334,P8,70,303,Niskin,,,,,
1002,48.817,231.334,P8,60,304,Niskin,,,,,
1002,48.817,231.334,P8,50,305,Niskin,,,,,
1002,48.817,231.334,P8,45,306,Niskin,,,,,
1002,48.817,231.334,P8,40,307,Niskin,,,,,
1002,48.817,231.334,P8,35,308,Niskin,,,,,
1002,48.817,231.334,P8,30,309,Niskin,,,,,
1002,48.817,231.334,P8,30,310,Niskin,,,,,
1003,48.817,231.334,P8,2000,313,Niskin,,,,,
1003,48.817,231.334,P8,2000,314,Niskin,,,,,
1003,48.817,231.334,P8,2000,315,Niskin,,,,,
1003,48.817,231.334,P8,2000,316,Niskin,,,,,
1003,48.817,231.334,P8,2000,317,Niskin,,,,,
